"date","AQI"
"2015-04-06",65
"2015-04-07",61
"2015-04-08",61
"2015-04-09",80
"2015-04-10",82
"2015-04-11",99
"2015-04-12",92
"2015-04-13",92
"2015-04-14",67
"2015-04-15",104
"2015-04-16",126
"2015-04-17",123
"2015-04-18",148
"2015-04-19",31
"2015-04-20",52
"2015-04-21",46
"2015-04-22",52
"2015-04-23",91
"2015-04-24",94
"2015-04-25",86
"2015-04-26",85
"2015-04-27",62
"2015-04-28",79
"2015-04-29",88
"2015-04-30",106
"2015-05-01",283
"2015-05-02",54
"2015-05-03",75
"2015-05-04",62
"2015-05-05",64
"2015-05-06",69
"2015-05-07",82
"2015-05-08",55
"2015-05-09",78
"2015-05-10",96
"2015-05-11",45
"2015-05-12",79
"2015-05-13",109
"2015-05-14",112
"2015-05-15",57
"2015-05-16",84
"2015-05-17",114
"2015-05-18",71
"2015-05-19",86
"2015-05-20",71
"2015-05-21",61
"2015-05-22",72
"2015-05-23",69
"2015-05-24",82
"2015-05-25",63
"2015-05-26",74
"2015-05-27",86
"2015-05-28",85
"2015-05-29",60
"2015-05-30",59
"2015-05-31",59
"2015-06-01",76
"2015-06-02",61
"2015-06-03",57
"2015-06-04",75
"2015-06-05",63
"2015-06-06",72
"2015-06-07",43
"2015-06-08",73
"2015-06-09",77
"2015-06-10",243
"2015-06-11",113
"2015-06-12",69
"2015-06-13",80
"2015-06-14",75
"2015-06-15",53
"2015-06-16",70
"2015-06-17",83
"2015-06-18",70
"2015-06-19",65
"2015-06-20",74
"2015-06-21",72
"2015-06-22",52
"2015-06-23",62
"2015-06-24",31
"2015-06-25",28
"2015-06-26",57
"2015-06-27",48
"2015-06-28",37
"2015-06-29",54
"2015-06-30",72
"2015-07-01",63
"2015-07-02",60
"2015-07-03",66
"2015-07-04",56
"2015-07-05",86
"2015-07-06",54
"2015-07-07",56
"2015-07-08",62
"2015-07-09",81
"2015-07-10",102
"2015-07-11",71
"2015-07-12",62
"2015-07-13",83
"2015-07-14",154
"2015-07-15",76
"2015-07-16",58
"2015-07-17",77
"2015-07-18",85
"2015-07-19",96
"2015-07-20",92
"2015-07-21",57
"2015-07-22",69
"2015-07-23",80
"2015-07-24",63
"2015-07-25",69
"2015-07-26",84
"2015-07-27",64
"2015-07-28",64
"2015-07-29",67
"2015-07-30",69
"2015-07-31",56
"2015-08-01",72
"2015-08-02",67
"2015-08-03",43
"2015-08-04",30
"2015-08-05",35
"2015-08-06",78
"2015-08-07",82
"2015-08-08",100
"2015-08-09",104
"2015-08-10",75
"2015-08-11",72
"2015-08-12",60
"2015-08-13",53
"2015-08-14",64
"2015-08-15",58
"2015-08-16",69
"2015-08-17",98
"2015-08-18",150
"2015-08-19",109
"2015-08-20",70
"2015-08-21",64
"2015-08-22",56
"2015-08-23",63
"2015-08-24",62
"2015-08-25",74
"2015-08-26",70
"2015-08-27",72
"2015-08-28",86
"2015-08-29",85
"2015-08-30",71
"2015-08-31",78
"2015-09-01",66
"2015-09-02",65
"2015-09-03",126
"2015-09-04",41
"2015-09-05",50
"2015-09-06",61
"2015-09-07",59
"2015-09-08",91
"2015-09-09",80
"2015-09-10",30
"2015-09-11",20
"2015-09-12",68
"2015-09-13",44
"2015-09-14",66
"2015-09-15",84
"2015-09-16",92
"2015-09-17",125
"2015-09-18",106
"2015-09-19",94
"2015-09-20",77
"2015-09-21",66
"2015-09-22",67
"2015-09-23",42
"2015-09-24",56
"2015-09-25",60
"2015-09-26",75
"2015-09-27",55
"2015-09-28",56
"2015-09-29",61
"2015-09-30",75
"2015-10-01",40
"2015-10-02",106
"2015-10-03",124
"2015-10-04",147
"2015-10-05",134
"2015-10-06",149
"2015-10-07",116
"2015-10-08",63
"2015-10-09",66
"2015-10-10",78
"2015-10-11",85
"2015-10-12",82
"2015-10-13",110
"2015-10-14",153
"2015-10-15",116
"2015-10-16",130
"2015-10-17",199
"2015-10-18",112
"2015-10-19",114
"2015-10-20",217
"2015-10-21",209
"2015-10-22",127
"2015-10-23",90
"2015-10-24",119
"2015-10-25",74
"2015-10-26",49
"2015-10-27",56
"2015-10-28",76
"2015-10-29",100
"2015-10-30",80
"2015-10-31",44
"2015-11-01",41
"2015-11-02",72
"2015-11-03",95
"2015-11-04",126
"2015-11-05",136
"2015-11-06",86
"2015-11-07",31
"2015-11-08",22
"2015-11-09",90
"2015-11-10",111
"2015-11-11",63
"2015-11-12",71
"2015-11-13",81
"2015-11-14",106
"2015-11-15",111
"2015-11-16",89
"2015-11-17",121
"2015-11-18",61
"2015-11-19",71
"2015-11-20",74
"2015-11-21",78
"2015-11-22",52
"2015-11-23",61
"2015-11-24",23
"2015-11-25",49
"2015-11-26",46
"2015-11-27",82
"2015-11-28",143
"2015-11-29",236
"2015-11-30",320
"2015-12-01",221
"2015-12-02",199
"2015-12-03",128
"2015-12-04",94
"2015-12-05",107
"2015-12-06",139
"2015-12-07",208
"2015-12-08",223
"2015-12-09",231
"2015-12-10",226
"2015-12-11",125
"2015-12-12",131
"2015-12-13",125
"2015-12-14",47
"2015-12-15",92
"2015-12-16",57
"2015-12-17",89
"2015-12-18",111
"2015-12-19",133
"2015-12-20",184
"2015-12-21",256
"2015-12-22",293
"2015-12-23",288
"2015-12-24",399
"2015-12-25",78
"2015-12-26",110
"2015-12-27",95
"2015-12-28",170
"2015-12-29",266
"2015-12-30",149
"2015-12-31",167
"2016-01-01",253
"2016-01-02",147
"2016-01-03",314
"2016-01-04",275
"2016-01-05",349
"2016-01-06",276
"2016-01-07",360
"2016-01-08",195
"2016-01-09",212
"2016-01-10",211
"2016-01-11",196
"2016-01-12",164
"2016-01-13",219
"2016-01-14",122
"2016-01-15",79
"2016-01-16",164
"2016-01-17",191
"2016-01-18",97
"2016-01-19",74
"2016-01-20",87
"2016-01-21",108
"2016-01-22",163
"2016-01-23",57
"2016-01-24",135
"2016-01-25",51
"2016-01-26",89
"2016-01-27",127
"2016-01-28",127
"2016-01-29",139
"2016-01-30",236
"2016-01-31",154
"2016-02-01",59
"2016-02-02",76
"2016-02-03",117
"2016-02-04",181
"2016-02-05",148
"2016-02-06",57
"2016-02-07",61
"2016-02-08",148
"2016-02-09",205
"2016-02-10",178
"2016-02-11",209
"2016-02-12",212
"2016-02-13",76
"2016-02-14",57
"2016-02-15",63
"2016-02-16",69
"2016-02-17",59
"2016-02-18",98
"2016-02-19",121
"2016-02-20",149
"2016-02-21",118
"2016-02-22",109
"2016-02-23",168
"2016-02-24",98
"2016-02-25",149
"2016-02-26",93
"2016-02-27",109
"2016-02-28",103
"2016-02-29",59
"2016-03-01",84
"2016-03-02",114
"2016-03-03",89
"2016-03-04",117
"2016-03-05",209
"2016-03-06",193
"2016-03-07",201
"2016-03-08",169
"2016-03-09",132
"2016-03-10",98
"2016-03-11",91
"2016-03-12",149
"2016-03-13",139
"2016-03-14",91
"2016-03-15",118
"2016-03-16",132
"2016-03-17",222
"2016-03-18",114
"2016-03-19",135
"2016-03-20",118
"2016-03-21",113
"2016-03-22",172
"2016-03-23",156
"2016-03-24",214
"2016-03-25",111
"2016-03-26",98
"2016-03-27",84
"2016-03-28",108
"2016-03-29",124
"2016-03-30",138
"2016-03-31",133
"2016-04-01",133
"2016-04-02",160
"2016-04-03",97
"2016-04-04",70
"2016-04-05",117
"2016-04-06",87
"2016-04-07",63
"2016-04-08",139
"2016-04-09",106
"2016-04-10",121
"2016-04-11",156
"2016-04-12",135
"2016-04-13",156
"2016-04-14",114
"2016-04-15",91
"2016-04-16",29
"2016-04-17",82
"2016-04-18",63
"2016-04-19",135
"2016-04-20",99
"2016-04-21",119
"2016-04-22",115
"2016-04-23",76
"2016-04-24",66
"2016-04-25",56
"2016-04-26",87
"2016-04-27",75
"2016-04-28",66
"2016-04-29",81
"2016-04-30",140
"2016-05-01",123
"2016-05-02",99
"2016-05-03",88
"2016-05-04",96
"2016-05-05",128
"2016-05-06",120
"2016-05-07",110
"2016-05-08",76
"2016-05-09",73
"2016-05-10",92
"2016-05-11",100
"2016-05-12",114
"2016-05-13",80
"2016-05-14",47
"2016-05-15",45
"2016-05-16",62
"2016-05-17",96
"2016-05-18",115
"2016-05-19",61
"2016-05-20",94
"2016-05-21",69
"2016-05-22",64
"2016-05-23",106
"2016-05-24",46
"2016-05-25",83
"2016-05-26",37
"2016-05-27",55
"2016-05-28",61
"2016-05-29",74
"2016-05-30",80
"2016-05-31",94
"2016-06-01",75
"2016-06-02",41
"2016-06-03",48
"2016-06-04",62
"2016-06-05",85
"2016-06-06",69
"2016-06-07",117
"2016-06-08",68
"2016-06-09",79
"2016-06-10",68
"2016-06-11",69
"2016-06-12",72
"2016-06-13",75
"2016-06-14",92
"2016-06-15",71
"2016-06-16",68
"2016-06-17",50
"2016-06-18",74
"2016-06-19",91
"2016-06-20",83
"2016-06-21",95
"2016-06-22",74
"2016-06-23",82
"2016-06-24",29
"2016-06-25",56
"2016-06-26",49
"2016-06-27",52
"2016-06-28",86
"2016-06-29",74
"2016-06-30",59
"2016-07-01",36
"2016-07-02",73
"2016-07-03",50
"2016-07-04",47
"2016-07-05",60
"2016-07-06",50
"2016-07-07",52
"2016-07-08",39
"2016-07-09",35
"2016-07-10",78
"2016-07-11",60
"2016-07-12",48
"2016-07-13",51
"2016-07-14",31
"2016-07-15",48
"2016-07-16",85
"2016-07-17",63
"2016-07-18",73
"2016-07-19",77
"2016-07-20",36
"2016-07-21",90
"2016-07-22",72
"2016-07-23",68
"2016-07-24",109
"2016-07-25",47
"2016-07-26",57
"2016-07-27",36
"2016-07-28",46
"2016-07-29",58
"2016-07-30",53
"2016-07-31",50
"2016-08-01",56
"2016-08-02",56
"2016-08-03",50
"2016-08-04",56
"2016-08-05",60
"2016-08-06",64
"2016-08-07",73
"2016-08-08",74
"2016-08-09",64
"2016-08-10",42
"2016-08-11",57
"2016-08-12",46
"2016-08-13",50
"2016-08-14",49
"2016-08-15",39
"2016-08-16",53
"2016-08-17",76
"2016-08-18",64
"2016-08-19",77
"2016-08-20",56
"2016-08-21",70
"2016-08-22",66
"2016-08-23",59
"2016-08-24",92
"2016-08-25",76
"2016-08-26",29
"2016-08-27",48
"2016-08-28",61
"2016-08-29",73
"2016-08-30",80
"2016-08-31",86
"2016-09-01",68
"2016-09-02",73
"2016-09-03",98
"2016-09-04",94
"2016-09-05",84
"2016-09-06",58
"2016-09-07",64
"2016-09-08",87
"2016-09-09",112
"2016-09-10",52
"2016-09-11",79
"2016-09-12",89
"2016-09-13",88
"2016-09-14",113
"2016-09-15",106
"2016-09-16",106
"2016-09-17",117
"2016-09-18",141
"2016-09-19",96
"2016-09-20",50
"2016-09-21",64
"2016-09-22",92
"2016-09-23",92
"2016-09-24",107
"2016-09-25",73
"2016-09-26",100
"2016-09-27",99
"2016-09-28",82
"2016-09-29",67
"2016-09-30",99
"2016-10-01",130
"2016-10-02",172
"2016-10-03",188
"2016-10-04",85
"2016-10-05",45
"2016-10-06",43
"2016-10-07",68
"2016-10-08",55
"2016-10-09",66
"2016-10-10",75
"2016-10-11",128
"2016-10-12",126
"2016-10-13",68
"2016-10-14",106
"2016-10-15",69
"2016-10-16",83
"2016-10-17",74
"2016-10-18",112
"2016-10-19",133
"2016-10-20",178
"2016-10-21",71
"2016-10-22",71
"2016-10-23",33
"2016-10-24",35
"2016-10-25",52
"2016-10-26",55
"2016-10-27",48
"2016-10-28",20
"2016-10-29",54
"2016-10-30",63
"2016-10-31",99
"2016-11-01",82
"2016-11-02",160
"2016-11-03",231
"2016-11-04",255
"2016-11-05",282
"2016-11-06",264
"2016-11-07",57
"2016-11-08",103
"2016-11-09",120
"2016-11-10",NA
"2016-11-11",340
"2016-11-12",139
"2016-11-13",184
"2016-11-14",270
"2016-11-15",220
"2016-11-16",231
"2016-11-17",320
"2016-11-18",267
"2016-11-19",239
"2016-11-20",161
"2016-11-21",246
"2016-11-22",75
"2016-11-23",43
"2016-11-24",53
"2016-11-25",161
"2016-11-26",158
"2016-11-27",144
"2016-11-28",246
"2016-11-29",250
"2016-11-30",135
"2016-12-01",156
"2016-12-02",266
"2016-12-03",236
"2016-12-04",108
"2016-12-05",199
"2016-12-06",97
"2016-12-07",206
"2016-12-08",299
"2016-12-09",272
"2016-12-10",288
"2016-12-11",251
"2016-12-12",178
"2016-12-13",266
"2016-12-14",344
"2016-12-15",387
"2016-12-16",150
"2016-12-17",251
"2016-12-18",312
"2016-12-19",432
"2016-12-20",464
"2016-12-21",447
"2016-12-22",100
"2016-12-23",139
"2016-12-24",191
"2016-12-25",148
"2016-12-26",66
"2016-12-27",92
"2016-12-28",68
"2016-12-29",149
"2016-12-30",234
"2016-12-31",352
"2017-01-01",352
"2017-01-02",347
"2017-01-03",409
"2017-01-04",460
"2017-01-05",500
"2017-01-06",436
"2017-01-07",94
"2017-01-08",120
"2017-01-09",146
"2017-01-10",109
"2017-01-11",53
"2017-01-12",80
"2017-01-13",87
"2017-01-14",188
"2017-01-15",259
"2017-01-16",257
"2017-01-17",378
"2017-01-18",332
"2017-01-19",409
"2017-01-20",75
"2017-01-21",88
"2017-01-22",163
"2017-01-23",244
"2017-01-24",329
"2017-01-25",383
"2017-01-26",500
"2017-01-27",216
"2017-01-28",168
"2017-01-29",193
"2017-01-30",78
"2017-01-31",116
"2017-02-01",191
"2017-02-02",213
"2017-02-03",223
"2017-02-04",313
"2017-02-05",291
"2017-02-06",346
"2017-02-07",230
"2017-02-08",65
"2017-02-09",72
"2017-02-10",72
"2017-02-11",120
"2017-02-12",191
"2017-02-13",220
"2017-02-14",282
"2017-02-15",288
"2017-02-16",296
"2017-02-17",107
"2017-02-18",217
"2017-02-19",283
"2017-02-20",235
"2017-02-21",108
"2017-02-22",109
"2017-02-23",91
"2017-02-24",79
"2017-02-25",113
"2017-02-26",113
"2017-02-27",111
"2017-02-28",211
"2017-03-01",128
"2017-03-02",85
"2017-03-03",127
"2017-03-04",117
