"date","AQI"
"2015-04-06",99
"2015-04-07",76
"2015-04-08",110
"2015-04-09",127
"2015-04-10",98
"2015-04-11",102
"2015-04-12",162
"2015-04-13",117
"2015-04-14",301
"2015-04-15",97
"2015-04-16",77
"2015-04-17",26
"2015-04-18",104
"2015-04-19",60
"2015-04-20",102
"2015-04-21",100
"2015-04-22",77
"2015-04-23",96
"2015-04-24",185
"2015-04-25",159
"2015-04-26",177
"2015-04-27",181
"2015-04-28",73
"2015-04-29",78
"2015-04-30",129
"2015-05-01",79
"2015-05-02",169
"2015-05-03",164
"2015-05-04",140
"2015-05-05",94
"2015-05-06",86
"2015-05-07",122
"2015-05-08",100
"2015-05-09",172
"2015-05-10",132
"2015-05-11",114
"2015-05-12",125
"2015-05-13",62
"2015-05-14",191
"2015-05-15",120
"2015-05-16",257
"2015-05-17",102
"2015-05-18",49
"2015-05-19",32
"2015-05-20",101
"2015-05-21",122
"2015-05-22",169
"2015-05-23",197
"2015-05-24",93
"2015-05-25",65
"2015-05-26",69
"2015-05-27",105
"2015-05-28",82
"2015-05-29",135
"2015-05-30",92
"2015-05-31",390
"2015-06-01",84
"2015-06-02",52
"2015-06-03",99
"2015-06-04",130
"2015-06-05",199
"2015-06-06",75
"2015-06-07",111
"2015-06-08",162
"2015-06-09",77
"2015-06-10",156
"2015-06-11",65
"2015-06-12",86
"2015-06-13",103
"2015-06-14",133
"2015-06-15",164
"2015-06-16",121
"2015-06-17",67
"2015-06-18",63
"2015-06-19",79
"2015-06-20",73
"2015-06-21",83
"2015-06-22",115
"2015-06-23",72
"2015-06-24",146
"2015-06-25",117
"2015-06-26",86
"2015-06-27",83
"2015-06-28",43
"2015-06-29",55
"2015-06-30",102
"2015-07-01",110
"2015-07-02",64
"2015-07-03",61
"2015-07-04",85
"2015-07-05",74
"2015-07-06",88
"2015-07-07",66
"2015-07-08",70
"2015-07-09",122
"2015-07-10",66
"2015-07-11",81
"2015-07-12",107
"2015-07-13",90
"2015-07-14",91
"2015-07-15",107
"2015-07-16",116
"2015-07-17",125
"2015-07-18",84
"2015-07-19",102
"2015-07-20",130
"2015-07-21",136
"2015-07-22",181
"2015-07-23",88
"2015-07-24",91
"2015-07-25",99
"2015-07-26",50
"2015-07-27",73
"2015-07-28",116
"2015-07-29",195
"2015-07-30",58
"2015-07-31",69
"2015-08-01",79
"2015-08-02",83
"2015-08-03",118
"2015-08-04",93
"2015-08-05",121
"2015-08-06",106
"2015-08-07",108
"2015-08-08",100
"2015-08-09",265
"2015-08-10",62
"2015-08-11",59
"2015-08-12",34
"2015-08-13",114
"2015-08-14",78
"2015-08-15",100
"2015-08-16",66
"2015-08-17",77
"2015-08-18",109
"2015-08-19",92
"2015-08-20",130
"2015-08-21",126
"2015-08-22",157
"2015-08-23",113
"2015-08-24",33
"2015-08-25",41
"2015-08-26",90
"2015-08-27",246
"2015-08-28",108
"2015-08-29",46
"2015-08-30",60
"2015-08-31",58
"2015-09-01",70
"2015-09-02",54
"2015-09-03",85
"2015-09-04",88
"2015-09-05",71
"2015-09-06",127
"2015-09-07",69
"2015-09-08",75
"2015-09-09",92
"2015-09-10",59
"2015-09-11",114
"2015-09-12",113
"2015-09-13",72
"2015-09-14",149
"2015-09-15",60
"2015-09-16",59
"2015-09-17",72
"2015-09-18",104
"2015-09-19",118
"2015-09-20",22
"2015-09-21",89
"2015-09-22",72
"2015-09-23",48
"2015-09-24",55
"2015-09-25",78
"2015-09-26",36
"2015-09-27",58
"2015-09-28",30
"2015-09-29",19
"2015-09-30",62
"2015-10-01",63
"2015-10-02",119
"2015-10-03",87
"2015-10-04",111
"2015-10-05",130
"2015-10-06",103
"2015-10-07",57
"2015-10-08",131
"2015-10-09",164
"2015-10-10",175
"2015-10-11",173
"2015-10-12",181
"2015-10-13",56
"2015-10-14",82
"2015-10-15",82
"2015-10-16",30
"2015-10-17",71
"2015-10-18",79
"2015-10-19",61
"2015-10-20",20
"2015-10-21",70
"2015-10-22",114
"2015-10-23",86
"2015-10-24",32
"2015-10-25",73
"2015-10-26",126
"2015-10-27",184
"2015-10-28",204
"2015-10-29",53
"2015-10-30",139
"2015-10-31",128
"2015-11-01",111
"2015-11-02",143
"2015-11-03",19
"2015-11-04",45
"2015-11-05",60
"2015-11-06",72
"2015-11-07",122
"2015-11-08",189
"2015-11-09",115
"2015-11-10",131
"2015-11-11",93
"2015-11-12",199
"2015-11-13",137
"2015-11-14",119
"2015-11-15",20
"2015-11-16",120
"2015-11-17",31
"2015-11-18",55
"2015-11-19",110
"2015-11-20",61
"2015-11-21",126
"2015-11-22",77
"2015-11-23",69
"2015-11-24",100
"2015-11-25",138
"2015-11-26",150
"2015-11-27",230
"2015-11-28",143
"2015-11-29",150
"2015-11-30",59
"2015-12-01",72
"2015-12-02",108
"2015-12-03",156
"2015-12-04",193
"2015-12-05",215
"2015-12-06",170
"2015-12-07",63
"2015-12-08",92
"2015-12-09",117
"2015-12-10",82
"2015-12-11",58
"2015-12-12",35
"2015-12-13",58
"2015-12-14",124
"2015-12-15",262
"2015-12-16",222
"2015-12-17",328
"2015-12-18",212
"2015-12-19",277
"2015-12-20",256
"2015-12-21",418
"2015-12-22",365
"2015-12-23",364
"2015-12-24",500
"2015-12-25",369
"2015-12-26",209
"2015-12-27",326
"2015-12-28",165
"2015-12-29",353
"2015-12-30",156
"2015-12-31",253
"2016-01-01",293
"2016-01-02",221
"2016-01-03",272
"2016-01-04",282
"2016-01-05",126
"2016-01-06",195
"2016-01-07",117
"2016-01-08",136
"2016-01-09",143
"2016-01-10",227
"2016-01-11",204
"2016-01-12",221
"2016-01-13",191
"2016-01-14",229
"2016-01-15",232
"2016-01-16",217
"2016-01-17",205
"2016-01-18",290
"2016-01-19",248
"2016-01-20",236
"2016-01-21",142
"2016-01-22",216
"2016-01-23",240
"2016-01-24",283
"2016-01-25",268
"2016-01-26",273
"2016-01-27",349
"2016-01-28",405
"2016-01-29",462
"2016-01-30",309
"2016-01-31",344
"2016-02-01",359
"2016-02-02",280
"2016-02-03",334
"2016-02-04",295
"2016-02-05",271
"2016-02-06",329
"2016-02-07",253
"2016-02-08",375
"2016-02-09",357
"2016-02-10",239
"2016-02-11",73
"2016-02-12",64
"2016-02-13",182
"2016-02-14",131
"2016-02-15",188
"2016-02-16",167
"2016-02-17",250
"2016-02-18",130
"2016-02-19",196
"2016-02-20",178
"2016-02-21",144
"2016-02-22",207
"2016-02-23",343
"2016-02-24",308
"2016-02-25",415
"2016-02-26",357
"2016-02-27",404
"2016-02-28",399
"2016-02-29",349
"2016-03-01",300
"2016-03-02",266
"2016-03-03",248
"2016-03-04",38
"2016-03-05",57
"2016-03-06",139
"2016-03-07",135
"2016-03-08",116
"2016-03-09",54
"2016-03-10",83
"2016-03-11",196
"2016-03-12",171
"2016-03-13",154
"2016-03-14",131
"2016-03-15",212
"2016-03-16",119
"2016-03-17",99
"2016-03-18",149
"2016-03-19",148
"2016-03-20",87
"2016-03-21",76
"2016-03-22",77
"2016-03-23",110
"2016-03-24",150
"2016-03-25",132
"2016-03-26",121
"2016-03-27",50
"2016-03-28",85
"2016-03-29",79
"2016-03-30",99
"2016-03-31",82
"2016-04-01",54
"2016-04-02",28
"2016-04-03",57
"2016-04-04",68
"2016-04-05",53
"2016-04-06",87
"2016-04-07",70
"2016-04-08",120
"2016-04-09",112
"2016-04-10",118
"2016-04-11",58
"2016-04-12",65
"2016-04-13",82
"2016-04-14",51
"2016-04-15",72
"2016-04-16",63
"2016-04-17",75
"2016-04-18",154
"2016-04-19",115
"2016-04-20",90
"2016-04-21",148
"2016-04-22",125
"2016-04-23",112
"2016-04-24",46
"2016-04-25",43
"2016-04-26",82
"2016-04-27",62
"2016-04-28",83
"2016-04-29",93
"2016-04-30",66
"2016-05-01",44
"2016-05-02",68
"2016-05-03",78
"2016-05-04",42
"2016-05-05",48
"2016-05-06",109
"2016-05-07",48
"2016-05-08",31
"2016-05-09",96
"2016-05-10",60
"2016-05-11",23
"2016-05-12",69
"2016-05-13",74
"2016-05-14",62
"2016-05-15",66
"2016-05-16",93
"2016-05-17",72
"2016-05-18",57
"2016-05-19",27
"2016-05-20",68
"2016-05-21",52
"2016-05-22",62
"2016-05-23",74
"2016-05-24",50
"2016-05-25",63
"2016-05-26",55
"2016-05-27",83
"2016-05-28",69
"2016-05-29",69
"2016-05-30",57
"2016-05-31",75
"2016-06-01",64
"2016-06-02",88
"2016-06-03",53
"2016-06-04",76
"2016-06-05",53
"2016-06-06",69
"2016-06-07",80
"2016-06-08",71
"2016-06-09",68
"2016-06-10",60
"2016-06-11",68
"2016-06-12",85
"2016-06-13",92
"2016-06-14",58
"2016-06-15",131
"2016-06-16",76
"2016-06-17",76
"2016-06-18",28
"2016-06-19",54
"2016-06-20",36
"2016-06-21",52
"2016-06-22",55
"2016-06-23",64
"2016-06-24",32
"2016-06-25",59
"2016-06-26",40
"2016-06-27",87
"2016-06-28",106
"2016-06-29",59
"2016-06-30",60
"2016-07-01",112
"2016-07-02",67
"2016-07-03",66
"2016-07-04",65
"2016-07-05",76
"2016-07-06",65
"2016-07-07",37
"2016-07-08",51
"2016-07-09",55
"2016-07-10",67
"2016-07-11",68
"2016-07-12",49
"2016-07-13",68
"2016-07-14",90
"2016-07-15",111
"2016-07-16",35
"2016-07-17",72
"2016-07-18",81
"2016-07-19",55
"2016-07-20",92
"2016-07-21",70
"2016-07-22",56
"2016-07-23",58
"2016-07-24",28
"2016-07-25",82
"2016-07-26",82
"2016-07-27",116
"2016-07-28",104
"2016-07-29",171
"2016-07-30",43
"2016-07-31",43
"2016-08-01",54
"2016-08-02",33
"2016-08-03",52
"2016-08-04",81
"2016-08-05",71
"2016-08-06",73
"2016-08-07",64
"2016-08-08",61
"2016-08-09",33
"2016-08-10",94
"2016-08-11",90
"2016-08-12",90
"2016-08-13",83
"2016-08-14",112
"2016-08-15",74
"2016-08-16",61
"2016-08-17",66
"2016-08-18",65
"2016-08-19",82
"2016-08-20",98
"2016-08-21",81
"2016-08-22",65
"2016-08-23",53
"2016-08-24",61
"2016-08-25",106
"2016-08-26",105
"2016-08-27",85
"2016-08-28",120
"2016-08-29",114
"2016-08-30",103
"2016-08-31",105
"2016-09-01",126
"2016-09-02",55
"2016-09-03",103
"2016-09-04",86
"2016-09-05",124
"2016-09-06",88
"2016-09-07",76
"2016-09-08",84
"2016-09-09",80
"2016-09-10",79
"2016-09-11",97
"2016-09-12",89
"2016-09-13",75
"2016-09-14",73
"2016-09-15",54
"2016-09-16",59
"2016-09-17",93
"2016-09-18",99
"2016-09-19",73
"2016-09-20",104
"2016-09-21",108
"2016-09-22",99
"2016-09-23",91
"2016-09-24",40
"2016-09-25",57
"2016-09-26",94
"2016-09-27",62
"2016-09-28",69
"2016-09-29",75
"2016-09-30",130
"2016-10-01",80
"2016-10-02",61
"2016-10-03",15
"2016-10-04",55
"2016-10-05",61
"2016-10-06",44
"2016-10-07",68
"2016-10-08",71
"2016-10-09",126
"2016-10-10",65
"2016-10-11",120
"2016-10-12",113
"2016-10-13",142
"2016-10-14",181
"2016-10-15",18
"2016-10-16",79
"2016-10-17",126
"2016-10-18",136
"2016-10-19",89
"2016-10-20",48
"2016-10-21",48
"2016-10-22",83
"2016-10-23",71
"2016-10-24",55
"2016-10-25",27
"2016-10-26",61
"2016-10-27",23
"2016-10-28",54
"2016-10-29",63
"2016-10-30",84
"2016-10-31",100
"2016-11-01",113
"2016-11-02",139
"2016-11-03",200
"2016-11-04",143
"2016-11-05",19
"2016-11-06",46
"2016-11-07",60
"2016-11-08",112
"2016-11-09",103
"2016-11-10",NA
"2016-11-11",94
"2016-11-12",101
"2016-11-13",39
"2016-11-14",78
"2016-11-15",126
"2016-11-16",138
"2016-11-17",74
"2016-11-18",53
"2016-11-19",56
"2016-11-20",49
"2016-11-21",23
"2016-11-22",49
"2016-11-23",76
"2016-11-24",138
"2016-11-25",208
"2016-11-26",321
"2016-11-27",200
"2016-11-28",108
"2016-11-29",286
"2016-11-30",204
"2016-12-01",256
"2016-12-02",351
"2016-12-03",314
"2016-12-04",300
"2016-12-05",360
"2016-12-06",315
"2016-12-07",281
"2016-12-08",219
"2016-12-09",177
"2016-12-10",106
"2016-12-11",91
"2016-12-12",108
"2016-12-13",100
"2016-12-14",132
"2016-12-15",104
"2016-12-16",136
"2016-12-17",184
"2016-12-18",150
"2016-12-19",144
"2016-12-20",70
"2016-12-21",139
"2016-12-22",158
"2016-12-23",235
"2016-12-24",146
"2016-12-25",82
"2016-12-26",127
"2016-12-27",133
"2016-12-28",175
"2016-12-29",331
"2016-12-30",149
"2016-12-31",214
"2017-01-01",306
"2017-01-02",146
"2017-01-03",260
"2017-01-04",302
"2017-01-05",279
"2017-01-06",308
"2017-01-07",421
"2017-01-08",258
"2017-01-09",221
"2017-01-10",290
"2017-01-11",375
"2017-01-12",279
"2017-01-13",280
"2017-01-14",417
"2017-01-15",500
"2017-01-16",369
"2017-01-17",311
"2017-01-18",452
"2017-01-19",309
"2017-01-20",221
"2017-01-21",369
"2017-01-22",402
"2017-01-23",470
"2017-01-24",259
"2017-01-25",238
"2017-01-26",161
